model,scenario,region,year,ssp,Annual consumption per capita (at utility peak),Scenario set,Climate policy,GHG budget,Economic trend,GDP (PPP),GHG emissions,Final Energy,value,variable,unit
MESSAGEix-Australia,SSP2-40k-4Gt,AUS,2020,SSP2,40k,4Gt,GHG budget,4Gt,Slowing GDP growth,1368.89164450555,497,4.41988036613758,3.6306745095191135e-4,GHG intensity of economic activity,tCO2-eq/$
MESSAGEix-Australia,SSP2-40k-4Gt,AUS,2030,SSP2,40k,4Gt,GHG budget,4Gt,Slowing GDP growth,1494.32971634541,124.695348692066,3.28796906862341,8.344567288471364e-5,GHG intensity of economic activity,tCO2-eq/$
MESSAGEix-Australia,SSP2-40k-4Gt,AUS,2040,SSP2,40k,4Gt,GHG budget,4Gt,Slowing GDP growth,1627.85611326054,26.8046513079338,3.00497602002895,1.646622885744183e-5,GHG intensity of economic activity,tCO2-eq/$
MESSAGEix-Australia,SSP2-40k-4Gt,AUS,2050,SSP2,40k,4Gt,GHG budget,4Gt,Slowing GDP growth,1768.20161196541,1.36779476633819e-13,3.03399204689321,7.735513626287472e-20,GHG intensity of economic activity,tCO2-eq/$
MESSAGEix-Australia,SSP2-40k-4Gt,AUS,2060,SSP2,40k,4Gt,GHG budget,4Gt,Slowing GDP growth,1877.35454225153,0.00999999999999979,2.91400831898938,5.3266443684135924e-9,GHG intensity of economic activity,tCO2-eq/$
MESSAGEix-Australia,SSP2-40k-4Gt,AUS,2070,SSP2,40k,4Gt,GHG budget,4Gt,Slowing GDP growth,1959.86274536484,0.00999999999999979,2.90873016238076,5.102398126425038e-9,GHG intensity of economic activity,tCO2-eq/$
MESSAGEix-Australia,SSP2-40k-4Gt,AUS,2080,SSP2,40k,4Gt,GHG budget,4Gt,Slowing GDP growth,2011.66931125119,-3.1086244689504403e-15,2.80039513556007,-1.545295964681681e-21,GHG intensity of economic activity,tCO2-eq/$
MESSAGEix-Australia,SSP2-40k-4Gt,AUS,2090,SSP2,40k,4Gt,GHG budget,4Gt,Slowing GDP growth,2029.62953710949,-6.2172489379008806e-15,2.6990086349605,-3.0632432294788222e-21,GHG intensity of economic activity,tCO2-eq/$
MESSAGEix-Australia,SSP2-40k-4Gt,AUS,2100,SSP2,40k,4Gt,GHG budget,4Gt,Slowing GDP growth,2078.9124827831,-8.88178419700125e-15,2.73271482586115,-4.2723223178259764e-21,GHG intensity of economic activity,tCO2-eq/$
MESSAGEix-Australia,SSP2-baseline-4Gt,AUS,2020,SSP2,baseline,4Gt,GHG budget,4Gt,Continuing GDP growth,1369.266,497,4.42662605492031,3.629681887960411e-4,GHG intensity of economic activity,tCO2-eq/$
MESSAGEix-Australia,SSP2-baseline-4Gt,AUS,2030,SSP2,baseline,4Gt,GHG budget,4Gt,Continuing GDP growth,1932.08100050768,134.801232214265,4.46579184064948,6.976996936404021e-5,GHG intensity of economic activity,tCO2-eq/$
MESSAGEix-Australia,SSP2-baseline-4Gt,AUS,2040,SSP2,baseline,4Gt,GHG budget,4Gt,Continuing GDP growth,2482.44400163567,16.698767785735,4.79461108174658,6.7267450040090595e-6,GHG intensity of economic activity,tCO2-eq/$
MESSAGEix-Australia,SSP2-baseline-4Gt,AUS,2050,SSP2,baseline,4Gt,GHG budget,4Gt,Continuing GDP growth,3007.53400318037,4.44089209850063e-16,4.97257209390761,1.4765891570318178e-22,GHG intensity of economic activity,tCO2-eq/$
MESSAGEix-Australia,SSP2-baseline-4Gt,AUS,2060,SSP2,baseline,4Gt,GHG budget,4Gt,Continuing GDP growth,3518.12600514927,0.00999999999999979,5.23143756933335,2.8424223536517424e-9,GHG intensity of economic activity,tCO2-eq/$
MESSAGEix-Australia,SSP2-baseline-4Gt,AUS,2070,SSP2,baseline,4Gt,GHG budget,4Gt,Continuing GDP growth,4007.49500739023,0.00999999999999979,5.52390523994196,2.495324381330175e-9,GHG intensity of economic activity,tCO2-eq/$
MESSAGEix-Australia,SSP2-baseline-4Gt,AUS,2080,SSP2,baseline,4Gt,GHG budget,4Gt,Continuing GDP growth,4438.63900953009,0.00999999999999979,5.79812111025399,2.252942845437316e-9,GHG intensity of economic activity,tCO2-eq/$
MESSAGEix-Australia,SSP2-baseline-4Gt,AUS,2090,SSP2,baseline,4Gt,GHG budget,4Gt,Continuing GDP growth,4790.73401137013,0.00999999999999979,5.97934410113743,2.0873628083433984e-9,GHG intensity of economic activity,tCO2-eq/$
MESSAGEix-Australia,SSP2-baseline-4Gt,AUS,2100,SSP2,baseline,4Gt,GHG budget,4Gt,Continuing GDP growth,5049.74501282798,0.00999999999999979,6.03152838905162,1.9802980100176482e-9,GHG intensity of economic activity,tCO2-eq/$
